inventory_id,store_id,item_id,lastupdate,quantity
114,2,3,10/03/2011,7
115,2,4,09/30/2008,10
116,2,5,08/26/2007,8
117,2,6,06/01/2009,2
118,2,7,12/20/2010,2
119,2,8,08/04/2015,7
120,2,9,02/05/2011,10
121,2,10,01/27/2011,10
122,2,11,05/10/2015,8
123,2,12,07/21/2010,1
124,2,13,05/27/2009,2
125,2,14,10/20/2013,4
126,2,15,01/24/2007,1
127,2,16,05/11/2014,8
128,2,17,09/14/2009,6
129,2,18,04/09/2007,9
130,2,19,06/10/2008,5
131,2,20,05/22/2009,61
132,2,21,06/08/2009,152
133,2,22,08/16/2013,185
134,2,23,01/24/2010,1
135,2,24,09/25/2013,7
136,2,25,03/18/2010,61
137,2,26,12/26/2013,152
138,2,27,08/03/2007,185
139,2,28,12/17/2009,251
140,2,29,07/28/2011,124
141,2,30,11/06/2009,109
142,2,31,01/23/2013,169
143,2,32,05/22/2014,172
144,2,33,12/10/2009,84
145,2,34,01/12/2012,63
146,2,35,11/20/2006,35
147,2,36,02/05/2014,218
148,2,37,09/12/2014,15
149,2,38,11/05/2008,53
150,2,39,03/21/2009,77
151,2,40,03/21/2015,206
152,2,41,03/29/2011,1
153,2,42,03/16/2007,14
154,2,43,05/23/2011,101
155,2,44,04/13/2013,74
156,2,45,03/31/2011,276
157,2,46,05/08/2007,64
158,2,47,10/24/2015,116
159,2,48,12/15/2009,290
160,2,49,09/07/2007,4
161,2,50,08/25/2007,90
162,2,51,02/17/2012,25
163,2,52,06/20/2012,113
164,2,53,11/13/2011,102
165,2,54,09/25/2008,183
166,2,55,04/28/2008,88
167,2,56,08/19/2008,134
168,2,57,02/10/2007,284
169,2,58,07/30/2015,36
170,2,59,08/28/2014,108
171,2,60,06/10/2012,55
172,2,61,09/08/2013,5
173,2,62,05/22/2008,10
174,2,63,02/16/2013,7
175,2,64,02/09/2012,10
176,2,65,07/03/2009,8
177,2,66,10/21/2009,97
178,2,67,06/12/2010,2
179,2,68,05/04/2015,7
180,2,69,03/23/2011,10
181,2,70,01/29/2011,10
182,2,71,09/12/2012,8
183,2,72,10/24/2014,1
184,2,73,08/22/2009,2
185,2,74,02/23/2009,4
186,2,75,11/20/2007,34
187,2,76,10/07/2014,8
188,2,77,06/14/2008,33
189,2,78,11/14/2011,9
190,2,79,04/30/2013,5
191,2,80,06/20/2011,55
192,2,81,06/23/2010,1
193,2,82,08/13/2008,6
194,2,83,01/11/2013,1
195,2,84,03/27/2014,7
196,2,85,05/10/2007,5
197,2,86,06/02/2007,123
198,2,87,02/02/2010,10
199,2,88,03/03/2015,9
200,2,89,10/07/2008,200
201,2,90,12/05/2006,9
202,2,91,09/25/2014,10
203,2,92,11/16/2013,1
204,2,93,04/06/2012,6
205,2,94,04/04/2013,269
206,2,95,01/07/2009,158
207,2,96,02/21/2009,188
208,2,97,10/29/2013,40
209,2,98,03/17/2012,129
210,2,99,05/18/2009,83
211,2,100,12/21/2006,236
212,2,101,09/06/2008,259
213,2,102,04/18/2012,137
214,2,103,08/08/2008,112
215,2,104,06/02/2007,86
216,2,105,12/06/2006,137
217,2,106,09/22/2008,52
218,2,107,03/05/2014,16
219,2,108,02/26/2007,9
220,2,109,11/26/2014,142
221,2,110,09/23/2015,226
222,2,111,10/14/2011,288
223,3,1,12/13/2014,121
224,3,2,04/07/2012,38
225,3,3,03/05/2011,55
226,3,4,07/17/2014,5
227,3,5,02/06/2007,10
228,3,6,05/11/2015,7
229,3,7,07/15/2013,10
230,3,8,09/19/2012,8
231,3,9,06/22/2012,97
232,3,10,04/16/2010,2
233,3,11,02/21/2012,7
234,3,12,06/01/2012,10
235,3,13,05/16/2007,10
236,3,14,08/30/2009,8
237,3,15,04/18/2014,1
238,3,16,09/29/2010,2
239,3,17,07/26/2013,4
240,3,18,09/08/2015,34
241,3,19,11/06/2011,8
242,3,20,04/19/2007,33
243,3,21,12/16/2010,9
244,3,22,04/05/2012,5
245,3,23,10/20/2014,55
246,3,24,05/24/2008,1
247,3,25,02/14/2012,6
248,3,26,03/04/2013,1
249,3,27,02/17/2013,7
250,3,28,02/03/2011,5
251,3,29,02/26/2009,123
252,3,30,12/20/2008,10
253,3,31,05/09/2014,9
254,3,32,02/04/2015,200
255,3,33,11/24/2006,9
256,3,34,06/22/2014,10
257,3,35,06/30/2015,1
258,3,36,02/04/2009,6
259,3,37,06/29/2015,77
260,3,38,04/29/2015,206
261,3,39,02/02/2010,169
262,3,40,11/11/2013,172
263,3,41,12/21/2008,84
264,3,42,02/09/2009,63
265,3,43,09/09/2012,35
266,3,44,11/08/2013,218
267,3,45,07/16/2015,15
268,3,46,10/05/2013,53
269,3,47,01/14/2008,77
270,3,48,09/25/2007,206
271,3,49,06/03/2015,1
272,3,50,10/17/2011,14
273,3,51,02/09/2013,101
274,3,52,09/22/2010,74
275,3,53,09/14/2007,276
276,3,54,04/23/2009,64
277,3,55,06/20/2011,116
278,3,56,10/22/2009,290
279,3,57,04/17/2013,4
280,3,58,06/25/2009,90
281,3,59,10/29/2008,25
282,3,60,12/11/2013,113
283,3,61,12/26/2013,102
284,3,62,05/18/2014,183
285,3,63,05/31/2014,88
286,3,64,04/22/2013,134
287,3,65,01/30/2014,284
288,3,66,09/15/2013,36
289,3,67,09/12/2011,108
290,3,68,01/07/2015,135
291,3,69,04/20/2010,210
292,3,70,04/13/2012,199
293,3,71,05/03/2008,146
294,3,72,07/08/2012,197
295,3,73,12/22/2007,197
296,3,74,06/25/2007,160
297,3,75,03/26/2007,283
298,3,76,08/11/2015,289
299,3,77,11/09/2013,104
300,3,78,01/16/2012,76
301,3,79,03/29/2011,96
302,3,80,03/16/2007,217
303,3,81,05/23/2011,16
304,3,82,04/13/2013,83
305,3,83,03/31/2011,207
306,3,84,05/08/2007,122
307,3,85,10/24/2015,195
308,3,86,12/15/2009,21
309,3,87,09/07/2007,69
310,3,88,08/25/2007,107
311,3,89,02/17/2012,169
312,3,90,06/20/2012,122
313,3,91,11/13/2011,289
314,3,92,09/25/2008,4
315,3,93,04/28/2008,263
316,3,94,08/19/2008,259
317,3,95,02/10/2007,156
318,3,96,07/30/2015,21
319,3,97,08/28/2014,67
320,3,98,06/10/2012,262
321,3,99,09/08/2013,171
322,3,100,05/22/2008,220
323,3,101,03/23/2007,13
324,3,102,03/02/2011,269
325,3,103,09/13/2014,158
326,3,104,09/30/2007,188
327,3,105,05/17/2012,40
328,3,106,09/28/2014,129
329,3,107,06/07/2013,83
330,3,108,12/13/2011,236
331,3,109,01/17/2010,259
332,3,110,09/28/2014,137
333,3,111,12/01/2010,112
334,4,1,06/15/2008,86
335,4,2,06/13/2011,137
336,4,3,01/16/2013,52
337,4,4,04/23/2015,16
338,4,5,07/28/2009,9
339,4,6,03/06/2007,142
340,4,7,06/04/2009,226
341,4,8,01/13/2009,288
342,4,9,02/14/2014,121
343,4,10,07/01/2007,38
344,4,11,09/03/2007,251
345,4,12,06/04/2007,262
346,4,13,11/28/2011,197
347,4,14,03/24/2011,240
348,4,15,01/17/2012,59
349,4,16,12/15/2006,103
350,4,17,02/01/2012,28
351,4,18,04/14/2008,280
352,4,19,05/09/2012,157
353,4,20,12/03/2009,254
354,4,21,10/04/2010,243
355,4,22,10/05/2011,94
356,4,23,02/25/2010,56
357,4,24,12/31/2014,105
358,4,25,08/10/2010,33
359,4,26,12/21/2010,78
360,4,27,08/20/2015,10
361,4,28,08/20/2012,87
362,4,29,10/19/2015,87
363,4,30,03/06/2009,45
364,4,31,10/14/2015,66
365,4,32,02/18/2012,5
366,4,33,06/17/2008,12
367,4,34,11/01/2015,101
368,4,35,02/05/2009,3
369,4,36,09/03/2008,97
370,4,37,08/01/2015,90
371,4,38,05/24/2012,41
372,4,39,02/05/2012,109
373,4,40,10/02/2015,81
374,4,41,09/07/2012,15
375,4,42,06/07/2015,52
376,4,43,11/27/2010,63
377,4,44,11/19/2007,108
378,4,45,04/24/2014,79
379,4,46,09/17/2013,30
380,4,47,01/03/2009,43
381,4,48,10/30/2011,57
382,4,49,07/09/2013,36
383,4,50,10/07/2008,101
384,4,51,09/03/2014,92
385,4,52,08/02/2010,43
386,4,53,12/10/2011,68
387,4,54,08/28/2008,58
388,4,55,02/18/2010,68
389,4,56,10/01/2015,54
390,4,57,12/26/2007,34
391,4,58,03/18/2009,75
392,4,59,11/20/2011,57
393,4,60,04/11/2013,57
394,4,61,04/24/2015,44
395,4,62,11/21/2011,24
396,4,63,06/28/2010,11
397,4,64,12/26/2008,103
398,4,65,10/27/2009,68
399,4,66,06/04/2015,47
400,4,67,02/09/2009,19
401,4,68,03/14/2013,51
402,4,69,02/11/2013,9
403,4,70,06/13/2014,110
404,4,71,09/01/2010,42
405,4,72,12/13/2012,96
406,4,73,03/06/2012,4
407,4,74,06/04/2009,58
408,4,75,09/23/2013,21
409,4,76,08/20/2014,85
410,4,77,04/16/2009,109
411,4,78,02/27/2013,19
412,4,79,03/31/2011,26
413,4,80,12/27/2012,48
414,4,81,06/15/2011,23
415,4,82,05/21/2012,64
416,4,83,03/02/2011,34
417,4,84,05/13/2010,25
418,4,85,09/19/2011,52
419,4,86,09/24/2008,101
420,4,87,08/15/2015,42
421,4,88,03/11/2008,35
422,4,89,04/10/2014,60
423,4,90,01/16/2012,92
424,4,91,03/29/2011,30
425,4,92,03/16/2007,97
426,4,93,05/23/2011,74
427,4,94,04/13/2013,86
428,4,95,03/31/2011,69
429,4,96,05/08/2007,17
430,4,97,10/24/2015,12
431,4,98,12/15/2009,70
432,4,99,09/07/2007,50
433,4,100,08/25/2007,71
434,4,101,02/17/2012,109
435,4,102,06/20/2012,3
436,4,103,11/13/2011,49
437,4,104,09/25/2008,56
438,4,105,04/28/2008,86
439,4,106,08/19/2008,98
440,4,107,02/10/2007,87
441,4,108,07/30/2015,54
442,4,109,08/28/2014,53
443,4,110,06/10/2012,53
444,4,111,09/08/2013,22
445,5,1,05/22/2008,67
446,5,2,03/23/2007,61
447,5,3,03/02/2011,35
448,5,4,09/13/2014,85
449,5,5,09/30/2007,13
450,5,6,05/17/2012,26
451,5,7,09/28/2014,43
452,5,8,06/07/2013,77
453,5,9,12/13/2011,16
454,5,10,01/17/2010,40
455,5,11,09/28/2014,0
456,5,12,01/17/2010,94
457,5,13,09/28/2014,56
458,5,14,12/01/2010,105
459,5,15,06/15/2008,33
460,5,16,06/13/2011,78
461,5,17,01/16/2013,10
462,5,18,04/23/2015,87
463,5,19,07/28/2009,87
464,5,20,03/06/2007,45
465,5,21,06/04/2009,66
466,5,22,01/13/2009,5
467,5,23,02/14/2014,12
468,5,24,07/01/2007,101
469,5,25,09/03/2007,3
470,5,26,06/04/2007,97
471,5,27,11/28/2011,90
472,5,28,03/24/2011,41
473,5,29,01/17/2012,109
474,5,30,12/15/2006,81
475,5,31,02/01/2012,15
476,5,32,04/14/2008,52
477,5,33,05/09/2012,63
478,5,34,12/03/2009,108
479,5,35,10/04/2010,79
480,5,36,10/05/2011,30
481,5,37,02/25/2010,43
482,5,38,12/31/2014,0
483,5,39,08/10/2010,36
484,5,40,12/21/2010,101
485,5,41,08/20/2015,92
486,5,42,08/20/2012,43
487,5,43,10/19/2015,68
488,5,44,03/06/2009,58
489,5,45,10/14/2015,68
490,5,46,02/18/2012,54
491,5,47,06/17/2008,34
492,5,48,11/01/2015,75
493,5,49,02/05/2009,57
494,5,50,09/03/2008,57
495,5,51,08/01/2015,44
496,5,52,05/24/2012,24
497,5,53,02/05/2012,11
498,5,54,10/02/2015,103
499,5,55,09/07/2012,68
500,5,56,06/07/2015,47
501,5,57,11/27/2010,0
502,5,58,11/19/2007,51
503,5,59,04/24/2014,9
504,5,60,09/17/2013,110
505,5,61,01/03/2009,42
506,5,62,10/30/2011,96
507,5,63,07/09/2013,4
508,5,64,10/07/2008,58
509,5,65,09/03/2014,21
510,5,66,08/02/2010,85
511,5,67,12/10/2011,109
512,5,68,08/28/2008,19
513,5,69,02/18/2010,26
514,5,70,10/01/2015,48
515,5,71,12/26/2007,23
516,5,72,03/18/2009,64
517,5,73,11/20/2011,34
518,5,74,04/11/2013,25
519,5,75,04/24/2015,52
520,5,76,11/21/2011,101
521,5,77,06/28/2010,42
522,5,78,12/26/2008,35
523,5,79,10/27/2009,60
524,5,80,06/04/2015,92
525,5,81,02/09/2009,30
526,5,82,03/14/2013,97
527,5,83,02/11/2013,74
528,5,84,06/13/2014,86
529,5,85,09/01/2010,69
530,5,86,12/13/2012,17
531,5,87,03/06/2012,12
532,5,88,06/04/2009,70
533,5,89,09/23/2013,50
534,5,90,08/20/2014,71
535,5,91,04/16/2009,109
536,5,92,02/27/2013,3
537,5,93,03/31/2011,49
538,5,94,12/27/2012,56
539,5,95,06/15/2011,86
540,5,96,05/21/2012,98
541,5,97,03/02/2011,87
542,5,98,05/13/2010,54
543,5,99,09/19/2011,53
544,5,100,09/24/2008,53
545,5,101,08/15/2015,22
546,5,102,03/11/2008,67
547,5,103,04/10/2014,61
548,5,104,09/22/2010,35
549,5,105,09/14/2007,85
550,5,106,04/23/2009,13
551,5,107,06/20/2011,26
552,5,108,10/22/2009,43
553,5,109,04/17/2013,77
554,5,110,06/25/2009,16
555,5,111,10/29/2008,40
556,6,1,12/11/2013,94
557,6,2,12/26/2013,56
558,6,3,05/18/2014,105
559,6,4,05/31/2014,33
560,6,5,04/22/2013,78
561,6,6,01/30/2014,10
562,6,7,09/15/2013,87
563,6,8,09/12/2011,87
564,6,9,01/07/2015,45
565,6,10,04/20/2010,66
566,6,11,04/13/2012,5
567,6,12,05/03/2008,12
568,6,13,07/08/2012,101
569,6,14,12/22/2007,3
570,6,15,06/25/2007,97
571,6,16,03/26/2007,90
572,6,17,08/11/2015,41
573,6,18,11/09/2013,109
574,6,19,01/16/2012,81
575,6,20,03/29/2011,15
576,6,21,03/16/2007,52
577,6,22,05/23/2011,63
578,6,23,04/13/2013,108
579,6,24,03/31/2011,79
580,6,25,05/08/2007,30
581,6,26,10/24/2015,43
582,6,27,12/15/2009,57
583,6,28,09/07/2007,36
584,6,29,08/25/2007,101
585,6,30,02/17/2012,92
586,6,31,06/20/2012,43
587,6,32,11/13/2011,68
588,6,33,09/25/2008,58
589,6,34,04/28/2008,68
590,6,35,08/19/2008,54
591,6,36,02/10/2007,34
592,6,37,07/30/2015,75
593,6,38,08/28/2014,57
594,6,39,06/10/2012,57
595,6,40,09/08/2013,44
596,6,41,05/22/2008,24
597,6,42,03/23/2007,11
598,6,43,03/02/2011,103
599,6,44,09/13/2014,68
600,6,45,09/30/2007,47
601,6,46,05/17/2012,19
602,6,47,09/28/2014,51
603,6,48,06/07/2013,9
604,6,49,12/13/2011,110
605,6,50,01/17/2010,42
606,6,51,09/28/2014,96
607,6,52,12/01/2010,4
608,6,53,06/15/2008,58
609,6,54,06/13/2011,21
610,6,55,01/16/2013,85
611,6,56,04/23/2015,109
612,6,57,07/28/2009,19
613,6,58,03/06/2007,26
614,6,59,06/04/2009,48
615,6,60,01/13/2009,23
616,6,61,02/14/2014,64
617,6,62,07/01/2007,34
618,6,63,09/03/2007,25
619,6,64,06/04/2007,52
620,6,65,11/28/2011,101
621,6,66,03/24/2011,42
622,6,67,01/17/2012,35
623,6,68,12/15/2006,60
624,6,69,02/01/2012,92
625,6,70,10/29/2008,30
626,6,71,12/11/2013,97
627,6,72,12/26/2013,74
628,6,73,05/18/2014,86
629,6,74,05/31/2014,69
630,6,75,04/22/2013,17
631,6,76,01/30/2014,12
632,6,77,09/15/2013,70
633,6,78,09/12/2011,50
634,6,79,01/07/2015,71
635,6,80,04/20/2010,109
636,6,81,04/13/2012,3
637,6,82,05/03/2008,49
638,6,83,07/08/2012,56
639,6,84,12/22/2007,86
640,6,85,06/25/2007,98
641,6,86,03/26/2007,87
642,6,87,08/11/2015,54
643,6,88,11/09/2013,53
644,6,89,01/16/2012,53
645,6,90,03/29/2011,22
646,6,91,03/16/2007,67
647,6,92,05/23/2011,61
648,6,93,04/13/2013,35
649,6,94,03/31/2011,85
650,6,95,05/08/2007,13
651,6,96,10/24/2015,26
652,6,97,12/15/2009,43
653,6,98,09/07/2007,77
654,6,99,08/25/2007,16
655,6,100,02/17/2012,40
656,6,101,06/20/2012,1
657,6,102,11/13/2011,2
658,6,103,09/25/2008,4
659,6,104,04/28/2008,34
660,6,105,08/19/2008,8
661,6,106,02/10/2007,33
662,6,107,07/30/2015,9
663,6,108,08/28/2014,5
664,6,109,06/10/2012,55
665,6,110,09/08/2013,1
666,6,111,05/22/2008,6
667,7,1,03/23/2007,1
668,7,2,03/02/2011,7
669,7,3,09/13/2014,5
670,7,4,09/30/2007,123
671,7,5,05/17/2012,10
672,7,6,09/28/2014,9
673,7,7,06/07/2013,200
674,7,8,12/13/2011,9
675,7,9,01/17/2010,10
676,7,10,09/28/2014,1
677,7,11,12/01/2010,6
678,7,12,06/15/2008,9
679,7,13,06/13/2011,6
680,7,14,01/16/2013,2
681,7,15,04/23/2015,2
682,7,16,07/28/2009,1
683,7,17,03/06/2007,8
684,7,18,06/04/2009,8
685,7,19,01/13/2009,9
686,7,20,02/14/2014,1
687,7,21,07/01/2007,8
688,7,22,09/03/2007,9
689,7,23,06/04/2007,5
690,7,24,11/28/2011,4
691,7,25,03/24/2011,8
692,7,26,01/17/2012,9
693,7,27,12/15/2006,434
694,7,28,02/01/2012,4
695,7,29,04/11/2012,1
696,7,30,12/28/2014,4
697,7,31,11/10/2013,8
698,7,32,03/05/2012,6
699,7,33,04/28/2008,7
700,7,34,04/18/2007,8
701,7,35,04/26/2011,5
702,7,36,04/04/2009,2
703,7,37,03/24/2008,7
704,7,38,04/29/2013,55
705,7,39,02/28/2010,5
706,7,40,03/26/2010,10
707,7,41,03/12/2008,7
708,7,42,02/12/2015,10
709,7,43,01/30/2014,8
710,7,44,12/11/2009,97
711,7,45,11/29/2010,2
712,7,46,11/06/2010,7
713,7,47,08/02/2015,10
714,7,48,04/05/2013,10
715,7,49,12/14/2009,8
716,7,50,10/10/2010,1
717,7,51,08/26/2007,2
718,7,52,10/03/2013,4
719,7,53,02/23/2014,34
720,7,54,07/09/2014,8
721,7,55,09/30/2008,33
722,7,56,07/28/2013,9
723,7,57,12/03/2010,5
724,7,58,03/23/2010,55
725,7,59,05/18/2009,1
726,7,60,11/01/2015,6
727,7,61,06/26/2015,1
728,7,62,04/01/2014,7
729,7,63,01/13/2007,5
730,7,64,08/25/2010,123
731,7,65,01/28/2008,10
732,7,66,08/29/2009,9
733,7,67,03/26/2015,200
734,7,68,06/30/2008,9
735,7,69,03/07/2010,10
736,7,70,07/19/2011,1
737,7,71,05/17/2012,6
738,7,72,06/26/2011,9
739,7,73,03/28/2011,3
740,7,74,06/19/2010,10
741,7,75,07/11/2009,6
742,7,76,02/13/2015,3
743,7,77,03/27/2008,8
744,7,78,01/20/2010,6
745,7,79,03/02/2015,5
746,7,80,09/04/2014,10
747,7,81,05/07/2015,7
748,7,82,04/26/2009,10
749,7,83,02/16/2012,8
750,7,84,12/17/2006,2
751,7,85,12/10/2010,2
752,7,86,11/22/2009,7
753,7,87,03/24/2012,10
754,7,88,04/04/2009,10
755,7,89,05/08/2015,8
756,7,90,09/03/2011,1
757,7,91,03/22/2008,2
758,7,92,09/04/2015,4
759,7,93,05/15/2013,1
760,7,94,02/05/2007,8
761,7,95,02/01/2013,6
762,7,96,04/12/2008,9
763,7,97,10/31/2015,5
764,7,98,11/02/2014,61
765,7,99,10/12/2013,152
766,7,100,06/02/2012,185
767,7,101,11/19/2009,1
768,7,102,03/17/2010,7
769,7,103,12/05/2007,61
770,7,104,01/21/2013,152
771,7,105,11/23/2009,185
772,7,106,12/01/2010,251
773,7,107,05/17/2008,124
774,7,108,12/01/2008,109
775,7,109,04/07/2015,169
776,7,110,08/01/2012,172
777,7,111,08/03/2009,84
778,8,1,03/06/2015,63
779,8,2,11/26/2012,35
780,8,3,01/15/2012,218
781,8,4,02/01/2013,15
782,8,5,01/18/2011,53
783,8,6,08/07/2007,77
784,8,7,08/26/2014,206
785,8,8,04/10/2007,1
786,8,9,06/13/2013,14
787,8,10,04/30/2009,101
788,8,11,12/11/2010,74
789,8,12,08/21/2015,276
790,8,13,10/14/2012,64
791,8,14,01/03/2015,116
792,8,15,05/10/2010,290
793,8,16,12/08/2012,4
794,8,17,02/08/2008,90
795,8,18,02/04/2009,25
796,8,19,12/08/2012,113
797,8,20,01/30/2008,102
798,8,21,02/02/2013,183
799,8,22,06/12/2015,88
800,8,23,08/11/2008,134
801,8,24,10/18/2010,284
802,8,25,12/21/2009,36
803,8,26,01/07/2012,108
804,8,27,12/20/2008,55
805,8,28,01/14/2011,5
806,8,29,07/22/2009,10
807,8,30,12/15/2013,7
808,8,31,10/03/2011,10
809,8,32,09/30/2008,8
810,8,33,08/26/2007,97
811,8,34,06/01/2009,2
812,8,35,12/20/2010,7
813,8,36,08/04/2015,10
814,8,37,02/05/2011,10
815,8,38,01/27/2011,8
816,8,39,05/10/2015,1
817,8,40,07/21/2010,2
818,8,41,05/27/2009,4
819,8,42,10/20/2013,34
820,8,43,01/24/2007,8
821,8,44,05/11/2014,33
822,8,45,09/14/2009,9
823,8,46,04/09/2007,5
824,8,47,06/10/2008,55
825,8,48,05/22/2009,1
826,8,49,06/08/2009,6
827,8,50,08/16/2013,1
828,8,51,01/24/2010,7
829,8,52,09/25/2013,5
830,8,53,03/18/2010,123
831,8,54,12/26/2013,10
832,8,55,08/03/2007,9
833,8,56,12/17/2009,200
834,8,57,07/28/2011,9
835,8,58,11/06/2009,10
836,8,59,01/23/2013,1
837,8,60,05/22/2014,6
838,8,61,12/10/2009,269
839,8,62,01/12/2012,158
840,8,63,11/20/2006,188
841,8,64,02/05/2014,40
842,8,65,09/12/2014,129
843,8,66,11/05/2008,83
844,8,67,03/21/2009,236
845,8,68,03/21/2015,259
846,8,69,03/29/2011,137
847,8,70,03/16/2007,112
848,8,71,05/23/2011,86
849,8,72,04/13/2013,137
850,8,73,03/31/2011,52
851,8,74,05/08/2007,16
852,8,75,10/24/2015,9
853,8,76,12/15/2009,142
854,8,77,09/07/2007,226
855,8,78,08/25/2007,288
856,8,79,02/17/2012,121
857,8,80,06/20/2012,38
858,8,81,11/13/2011,55
859,8,82,09/25/2008,5
860,8,83,04/28/2008,10
861,8,84,08/19/2008,7
862,8,85,02/10/2007,10
863,8,86,07/30/2015,8
864,8,87,08/28/2014,97
865,8,88,06/10/2012,2
866,8,89,09/08/2013,7
867,8,90,05/22/2008,10
868,8,91,02/16/2013,10
869,8,92,02/09/2012,8
870,8,93,07/03/2009,1
871,8,94,10/21/2009,2
872,8,95,06/12/2010,4
873,8,96,05/04/2015,34
874,8,97,03/23/2011,8
875,8,98,01/29/2011,33
876,8,99,09/12/2012,9
877,8,100,10/24/2014,5
878,8,101,08/22/2009,55
879,8,102,02/23/2009,1
880,8,103,11/20/2007,6
881,8,104,10/07/2014,1
882,8,105,06/14/2008,7
883,8,106,11/14/2011,5
884,8,107,04/30/2013,123
885,8,108,06/20/2011,10
886,8,109,06/23/2010,9
887,8,110,08/13/2008,200
888,8,111,01/11/2013,9
889,9,1,03/27/2014,10
890,9,2,05/10/2007,1
891,9,3,06/02/2007,6
892,9,4,02/02/2010,77
893,9,5,03/03/2015,206
894,9,6,10/07/2008,169
895,9,7,12/05/2006,172
896,9,8,09/25/2014,84
897,9,9,11/16/2013,63
898,9,10,04/06/2012,35
899,9,11,04/04/2013,218
900,9,12,01/07/2009,15
901,9,13,02/21/2009,53
902,9,14,10/29/2013,77
903,9,15,03/17/2012,206
904,9,16,05/18/2009,1
905,9,17,12/21/2006,14
906,9,18,09/06/2008,101
907,9,19,04/18/2012,74
908,9,20,08/08/2008,276
909,9,21,06/02/2007,64
910,9,22,12/06/2006,116
911,9,23,09/22/2008,290
912,9,24,03/05/2014,4
913,9,25,02/26/2007,90
914,9,26,11/26/2014,25
915,9,27,09/23/2015,113
916,9,28,10/14/2011,102
917,9,29,12/13/2014,183
918,9,30,04/07/2012,88
919,9,31,03/05/2011,134
920,9,32,07/17/2014,284
921,9,33,02/06/2007,36
922,9,34,05/11/2015,108
923,9,35,07/15/2013,135
924,9,36,09/19/2012,210
925,9,37,06/22/2012,199
926,9,38,04/16/2010,146
927,9,39,02/21/2012,197
928,9,40,06/01/2012,197
929,9,41,05/16/2007,160
930,9,42,08/30/2009,283
931,9,43,04/18/2014,289
932,9,44,09/29/2010,104
933,9,45,07/26/2013,76
934,9,46,09/08/2015,96
935,9,47,11/06/2011,217
936,9,48,04/19/2007,16
937,9,49,12/16/2010,83
