Week	data mining	predictive analytics	text analytics	business intelligence
5/20/12	26	2	0	27
5/27/12	25	2	0	27
6/3/12	25	2	0	28
6/10/12	25	2	0	25
6/17/12	26	2	0	27
6/24/12	25	2	0	27
7/1/12	25	2	1	26
7/8/12	26	2	1	26
7/15/12	26	2	0	26
7/22/12	25	2	0	26
7/29/12	26	2	0	23
8/5/12	24	2	1	25
8/12/12	24	2	1	24
8/19/12	27	2	1	26
8/26/12	27	2	0	25
9/2/12	28	2	1	28
9/9/12	30	2	0	27
9/16/12	29	2	0	28
9/23/12	31	2	0	28
9/30/12	31	2	1	28
10/7/12	32	2	0	29
10/14/12	31	2	1	28
10/21/12	30	2	0	27
10/28/12	29	2	0	25
11/4/12	30	2	1	27
11/11/12	26	2	0	27
11/18/12	28	2	1	26
11/25/12	31	2	1	26
12/2/12	30	2	0	25
12/9/12	29	2	0	25
12/16/12	26	2	0	23
12/23/12	19	1	0	14
12/30/12	22	2	0	17
1/6/13	26	2	0	26
1/13/13	25	2	1	25
1/20/13	28	2	0	27
1/27/13	27	3	0	27
2/3/13	29	2	0	27
2/10/13	27	2	1	24
2/17/13	29	2	1	28
2/24/13	31	3	1	27
3/3/13	30	3	1	27
3/10/13	30	3	0	27
3/17/13	31	3	1	26
3/24/13	27	2	1	24
3/31/13	29	3	0	26
4/7/13	32	3	1	27
4/14/13	31	2	1	28
4/21/13	31	3	0	27
4/28/13	28	2	1	26
5/5/13	28	2	0	27
5/12/13	28	2	0	28
5/19/13	26	3	0	26
5/26/13	25	2	0	24
6/2/13	29	2	1	27
6/9/13	30	3	0	26
6/16/13	25	3	1	25
6/23/13	25	3	1	26
6/30/13	25	2	0	24
7/7/13	26	2	0	24
7/14/13	26	3	0	24
7/21/13	29	3	0	25
				
